"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
269,18 Feb 2020 08:06:53.324,18 Feb 2020 08:12:22.230,328.906
270,18 Feb 2020 14:27:57.527,18 Feb 2020 14:28:31.717,34.190
271,18 Feb 2020 15:59:14.856,18 Feb 2020 16:10:03.671,648.815
272,18 Feb 2020 17:37:01.849,18 Feb 2020 17:47:49.277,647.428
273,19 Feb 2020 03:58:07.295,19 Feb 2020 04:00:22.007,134.712
274,19 Feb 2020 05:32:22.737,19 Feb 2020 05:43:46.898,684.161
275,19 Feb 2020 07:10:35.635,19 Feb 2020 07:20:28.429,592.794
276,19 Feb 2020 15:06:26.553,19 Feb 2020 15:14:18.265,471.712
277,19 Feb 2020 16:41:35.537,19 Feb 2020 16:53:11.180,695.643
278,19 Feb 2020 18:21:42.173,19 Feb 2020 18:29:48.910,486.738
279,20 Feb 2020 04:38:15.294,20 Feb 2020 04:47:19.960,544.665
280,20 Feb 2020 06:15:15.190,20 Feb 2020 06:26:45.386,690.196
281,20 Feb 2020 07:54:26.275,20 Feb 2020 08:01:17.416,411.141
282,20 Feb 2020 15:47:35.020,20 Feb 2020 15:57:57.823,622.803
283,20 Feb 2020 17:24:48.001,20 Feb 2020 17:35:57.731,669.730
284,21 Feb 2020 05:20:29.003,21 Feb 2020 05:31:37.531,668.528
285,21 Feb 2020 06:58:28.016,21 Feb 2020 07:08:52.663,624.647
286,21 Feb 2020 14:55:12.018,21 Feb 2020 15:01:58.549,406.531
287,21 Feb 2020 16:29:41.373,21 Feb 2020 16:41:11.021,689.648
288,21 Feb 2020 18:09:04.168,21 Feb 2020 18:18:12.263,548.095
289,22 Feb 2020 04:26:39.114,22 Feb 2020 04:34:41.314,482.200
290,22 Feb 2020 06:03:15.133,22 Feb 2020 06:14:50.974,695.841
291,22 Feb 2020 07:42:06.929,22 Feb 2020 07:50:02.347,475.418
292,22 Feb 2020 15:35:59.543,22 Feb 2020 15:45:50.080,590.537
293,22 Feb 2020 17:12:38.930,22 Feb 2020 17:24:03.862,684.932
294,22 Feb 2020 18:55:52.892,22 Feb 2020 18:58:28.837,155.944
295,23 Feb 2020 05:08:37.616,23 Feb 2020 05:19:23.364,645.748
296,23 Feb 2020 06:46:22.286,23 Feb 2020 06:57:12.556,650.270
297,23 Feb 2020 08:27:35.846,23 Feb 2020 08:28:49.592,73.746
298,23 Feb 2020 14:44:08.048,23 Feb 2020 14:49:30.818,322.770
299,23 Feb 2020 16:17:51.132,23 Feb 2020 16:29:09.334,678.202
300,23 Feb 2020 17:56:34.765,23 Feb 2020 18:06:29.694,594.929
301,24 Feb 2020 04:15:12.633,24 Feb 2020 04:21:50.186,397.553
302,24 Feb 2020 05:51:16.646,24 Feb 2020 06:02:52.587,695.942
303,24 Feb 2020 07:29:52.274,24 Feb 2020 07:38:40.060,527.786
304,24 Feb 2020 15:24:28.793,24 Feb 2020 15:33:40.083,551.289
305,24 Feb 2020 17:00:34.266,24 Feb 2020 17:12:08.003,693.737
306,24 Feb 2020 18:42:10.138,24 Feb 2020 18:47:49.514,339.377
307,25 Feb 2020 04:56:49.081,25 Feb 2020 05:07:03.842,614.761
308,25 Feb 2020 06:34:18.240,25 Feb 2020 06:45:28.343,670.103
309,25 Feb 2020 08:14:15.443,25 Feb 2020 08:18:42.177,266.733
310,25 Feb 2020 14:33:25.011,25 Feb 2020 14:36:44.709,199.698
311,25 Feb 2020 16:06:04.838,25 Feb 2020 16:17:06.112,661.274
312,25 Feb 2020 17:44:12.156,25 Feb 2020 17:54:42.921,630.765
313,26 Feb 2020 04:04:06.168,26 Feb 2020 04:08:36.140,269.972
314,26 Feb 2020 05:39:19.850,26 Feb 2020 05:50:50.122,690.273
315,26 Feb 2020 07:17:40.895,26 Feb 2020 07:27:11.983,571.088
316,26 Feb 2020 15:13:03.375,26 Feb 2020 15:21:27.251,503.876
317,26 Feb 2020 16:48:33.784,26 Feb 2020 17:00:10.380,696.596
318,26 Feb 2020 18:29:09.395,26 Feb 2020 18:36:31.158,441.763
319,27 Feb 2020 04:45:04.175,27 Feb 2020 04:54:38.132,573.957
320,27 Feb 2020 06:22:15.760,27 Feb 2020 06:33:40.145,684.386
321,27 Feb 2020 08:01:40.604,27 Feb 2020 08:07:46.642,366.039
322,27 Feb 2020 15:54:22.576,27 Feb 2020 16:05:01.276,638.700
323,27 Feb 2020 17:31:55.291,27 Feb 2020 17:42:52.940,657.648
324,28 Feb 2020 05:27:24.915,28 Feb 2020 05:38:43.379,678.464
325,28 Feb 2020 07:05:32.036,28 Feb 2020 07:15:38.905,606.868
326,28 Feb 2020 15:01:44.319,28 Feb 2020 15:09:10.581,446.262
327,28 Feb 2020 16:36:37.315,28 Feb 2020 16:48:11.128,693.813
328,28 Feb 2020 18:16:24.945,28 Feb 2020 18:24:59.352,514.407
329,29 Feb 2020 04:33:24.167,29 Feb 2020 04:42:04.889,520.722
330,29 Feb 2020 06:10:14.807,29 Feb 2020 06:21:48.019,693.212
331,29 Feb 2020 07:49:17.330,29 Feb 2020 07:56:36.989,439.659
332,29 Feb 2020 15:42:44.523,29 Feb 2020 15:52:54.670,610.148
333,29 Feb 2020 17:19:43.489,29 Feb 2020 17:31:00.376,676.886
334,1 Mar 2020 05:15:32.111,1 Mar 2020 05:26:32.064,659.953
335,1 Mar 2020 06:53:25.239,1 Mar 2020 07:04:01.297,636.057
336,1 Mar 2020 14:50:33.616,1 Mar 2020 14:56:48.091,374.475
337,1 Mar 2020 16:24:44.790,1 Mar 2020 16:36:10.331,685.541
338,1 Mar 2020 18:03:50.821,1 Mar 2020 18:13:19.953,569.132
339,2 Mar 2020 04:21:51.405,2 Mar 2020 04:29:21.682,450.277
340,2 Mar 2020 05:58:15.395,2 Mar 2020 06:09:51.962,696.566
341,2 Mar 2020 07:37:00.183,2 Mar 2020 07:45:18.669,498.486
342,2 Mar 2020 15:31:10.962,2 Mar 2020 15:40:46.038,575.075
343,2 Mar 2020 17:07:36.292,2 Mar 2020 17:19:05.642,689.350
344,2 Mar 2020 18:49:59.869,2 Mar 2020 18:54:11.944,252.076
345,3 Mar 2020 05:03:41.839,3 Mar 2020 05:14:15.744,633.905
